year,TeamID,opexpperpart_men,opexpperteam_men,rev_men,exp_men,opexpperpart_men
2012,1460,23910,334734,2009025,2009025,
2012,1462,83047,1328751,11205384,3929624,
2012,1329,54740,875842,12262241,5658993,
2012,1328,104433,1566495,8437785,8445816,
2012,1331,23919,406630,2306410,2306410,
2012,1409,49642,843908,4088024,4088024,
2012,1333,33203,498038,4499464,3327025,
2012,1332,63656,1273111,4120198,5852153,
2012,1340,12422,198745,980216,980216,
2012,1137,20120,261564,1681079,1681079,
2012,1180,41271,495250,2186941,2166954,
2012,1247,32878,361662,2525566,2364336,
2012,1248,9094,136407,1392450,1392450,
2012,1250,9748,165712,1188018,1188018,
2012,1335,10006,180108,1224141,1073761,
2012,1338,78580,1257283,13574317,7181490,
2012,1352,17323,242520,1164410,1164410,
2012,1386,33584,470180,3020790,3020790,
2012,1396,49713,695977,3089270,3089270,
2012,1437,130516,1957747,8091225,6418855,
2012,1136,11035,176560,1367464,1367464,
2012,1344,46340,787780,5988360,5470933,
2012,1348,53799,699381,2799348,2816066,
2012,1158,21773,326597,1682606,1682606,
2012,1155,92786,1206217,7705630,4417665,
2012,1376,46004,644061,7849818,4618566,
2012,1157,18887,245533,1247650,1247650,
2012,1354,9677,135483,955451,955451,
2012,1457,9399,131584,1302611,1194539,
2012,1459,24223,363347,983459,983459,
2012,1355,26443,317316,756437,756437,
2012,1122,11401,159613,795965,772284,
2012,1125,12615,201844,1862820,1862820,
2012,1252,16736,251033,1751594,1750964,
2012,1190,26763,294389,1945000,1515349,
2012,1272,98202,1669442,6739131,6739131,
2012,1292,15621,312421,1528499,1546744,
2012,1151,17439,296455,1258943,1258943,
2012,1397,75781,1364051,13785893,6863233,
2012,1435,67053,1072851,8732026,7411745,
2012,1101,4075,69280,538837,509276,
2012,1124,81654,1061503,5923372,5923372,
2012,1394,29456,441835,1404838,1404838,
2012,1222,28191,422859,2612741,2612741,
2012,1249,16950,254254,1394579,1394579,
2012,1317,34592,484285,1863022,1863022,
2012,1341,2947,47149,981481,613057,
2012,1358,7688,138377,770674,770674,
2012,1374,41003,615040,3235313,3235313,
2012,1372,35258,458359,982366,982366,
2012,1426,16017,240259,967116,967116,
2012,1400,153771,2152790,16437705,8195360,
2012,1431,43131,690088,3451987,3451987,
2012,1395,32570,618827,4341175,4341175,
2012,1427,22750,341252,431431,1388689,
2012,1411,8456,143749,946691,946691,
2012,1403,58161,988734,5448009,4473693,
2012,1429,35237,563798,3981526,2662983,
2012,1428,49783,796524,6220172,3516570,
2012,1451,23663,378613,1449375,1366622,
2012,1436,15412,215765,1671155,1380788,
2012,1206,35697,499762,2662520,2435191,
2012,1214,15390,215464,924867,864600,
2012,1241,16798,319155,1955811,1966210,
2012,1251,17957,305273,1720327,1720327,
2012,1255,11508,172614,1322992,1009569,
2012,1313,13275,185855,945562,833224,
2012,1330,40692,529001,2417397,2417397,
2012,1347,12905,193580,1268507,1268507,
2012,1350,81760,1389921,4056940,4056940,
2012,1439,63747,956203,7858609,4782477,
2012,1433,27263,381680,3221519,3221519,
2012,1438,91829,1285609,9170281,6981202,
2012,1186,13637,190920,1014110,915368,
2012,1211,57657,922507,6128191,5344461,
2012,1450,53656,912150,4503065,3229259,
2012,1267,35283,564534,2483894,2483894,
2012,1452,93678,1592518,7968819,5333891,
2012,1266,187984,2819760,15568569,10348303,
2012,1453,26977,377673,1153465,1352042,
2012,1458,83789,1424407,16353313,6394547,
2012,1454,26189,523772,2318461,2318461,
2012,1461,36775,551629,2496580,2670401,
2012,1390,41201,659217,5449501,4158696,
2012,1345,81504,1222564,9396189,5204365,
2012,1195,13625,204380,909741,906368,
2013,1105,10905,174473,835750,604570,
2013,1412,42298,549872,3418881,3360401,
2013,1106,15066,195853,823840,823840,
2013,1104,56757,1078392,11770736,6161728,
2013,1120,63333,1076664,9493646,7588390,
2013,1240,11939,191021,1009758,1009758,
2013,1375,16475,263602,1793669,1543872,
2013,1407,10074,151112,1031446,963610,
2013,1113,51170,767549,7355143,5950806,
2013,1112,158911,2383668,20339831,7959652,
2013,1213,15991,255854,1164890,1164890,
2013,1114,29393,440900,988486,1639069,
2013,1116,107803,1509245,16630650,8041317,
2013,1115,12693,177708,670015,670015,
2013,1142,21033,273430,1408638,1408638,
2013,1167,22700,340500,1301822,1301822,
2013,1201,35680,463841,1754033,1804214,
2013,1168,12618,227115,1316210,1316210,
2013,1253,26710,480784,1940159,1940159,
2013,1169,14149,254679,1206921,1206921,
2013,1143,61295,1042009,8004748,6406523,
2013,1413,16460,263364,1227879,1227879,
2013,1414,15489,216852,1260410,1410755,
2013,1417,86716,1560889,8375109,7216738,
2013,1364,19110,324864,1967201,1967201,
2013,1334,17075,273197,1836357,1836357,
2013,1337,17301,276814,2169272,2169272,
2013,1361,39189,666216,5530503,4432238,
2013,1360,17770,284312,2441285,2441285,
2013,1362,28255,423830,2877753,2877753,
2013,1425,65385,1111551,4809914,4854498,
2013,1161,32143,417862,2425345,2425345,
2013,1294,21349,362933,1455662,1455662,
2013,1148,10869,141296,1413963,1241343,
2013,1163,105077,2416767,7388968,8633474,
2013,1216,14165,212479,1594499,1594499,
2013,1463,9859,167607,825583,831348,
2013,1175,12600,214202,1640546,1640546,
2013,1174,20346,325537,1534080,1731722,
2013,1110,13327,199904,1734168,1734168,
2013,1203,21328,341241,2800069,2800069,
2013,1416,29597,473544,3244344,2990002,
2013,1197,20896,250746,952593,952593,
2013,1194,33418,501270,959424,1474185,
2013,1199,95789,1436832,8218140,6101054,
2013,1196,116991,1637869,10186778,8474783,
2013,1274,68292,1024378,9436615,5795451,
2013,1316,23630,236302,1025429,1025429,
2013,1378,82686,1157609,5784939,3994479,
2013,1210,106603,1385833,5754667,5817054,
2013,1209,31101,497615,1917037,1917037,
2013,1208,56567,848498,8476089,5599447,
2013,1273,9706,164995,1233674,1243757,
2013,1218,29153,437288,1599717,2292154,
2013,1129,31515,504246,2158728,1729154,
2013,1133,33978,509667,3871835,3846345,
2013,1177,72232,1011246,6657771,6657771,
2013,1227,14364,229816,1322005,1519475,
2013,1228,68853,1032794,15836670,6584190,
2013,1321,73160,951077,11733090,4960576,
2013,1356,19938,279129,2063684,2063684,
2013,1139,41140,617107,3924026,3924026,
2013,1237,24990,374852,1301083,1301083,
2013,1232,36500,547505,1704707,1704707,
2013,1231,109495,1861416,17940405,9264091,
2013,1323,109617,1315405,3538334,4622255,
2013,1434,8914,133717,1781911,1781911,
2013,1179,53935,862967,2122856,2226291,
2013,1235,67227,1008404,7919352,4402362,
2013,1234,84203,1431446,8731784,6243668,
2013,1320,36637,586185,2449710,2449710,
2013,1242,155192,2483072,16443172,12740720,
2013,1243,69058,1104928,9111482,4347318,
2013,1455,56665,1019965,5071471,4644724,
2013,1184,18668,242684,1259295,1259295,
2013,1207,6284,106828,781640,756049,
