team,year,TeamID,lookup,herop_percentot
Winthrop (Big South),2011,1457,2011-1457,0.197568389
Oklahoma (Big 12),2011,1328,2011-1328,0.197568389
Old Dominion (CAA),2011,1330,2011-1330,0.228310502
Pacific (Big West),2011,1334,2011-1334,0.225266362
Jackson St. (SWAC),2011,1238,2011-1238,0.197869102
Alcorn (SWAC),2011,1108,2011-1108,0.242378049
Campbell (ASUN),2011,0,2011-0,0.198473282
SMU (C-USA),2011,1374,2011-1374,0.283969466
Boston U. (America East),2011,1131,2011-1131,0.290076336
Ga. Southern (SoCon),2011,0,2011-0,0.199081164
Saint Francis (PA) (NEC),2011,0,2011-0,0.199386503
Fairfield (MAAC),2011,0,2011-0,0.199386503
George Washington (Atlantic 10),2011,1203,2011-1203,0.230414747
Kennesaw St. (ASUN),2011,0,2011-0,0.19969278
North Florida (ASUN),2011,1316,2011-1316,0.200308166
Colgate (Patriot),2011,1159,2011-1159,0.200308166
Bradley (MVC),2011,1133,2011-1133,0.289676425
Idaho St. (Big Sky),2011,0,2011-0,0.200617284
Alabama A&M (SWAC),2011,1105,2011-1105,0.200927357
Air Force (Mountain West),2011,1102,2011-1102,0.201863354
Drake (MVC),2011,1179,2011-1179,0.201863354
Texas Southern (SWAC),2011,1411,2011-1411,0.251944012
FDU (NEC),2011,1192,2011-1192,0.231726283
Wright St. (Horizon),2011,1460,2011-1460,0.279937792
UMBC (America East),2011,1420,2011-1420,0.241057543
Penn St. (Big Ten),2011,1336,2011-1336,0.314641745
Fordham (Atlantic 10),2011,0,2011-0,0.202808112
Louisiana Tech (WAC),2011,0,2011-0,0.202808112
William & Mary (CAA),2011,0,2011-0,0.202808112
Bowling Green (MAC),2011,0,2011-0,0.202808112
Stetson (ASUN),2011,0,2011-0,0.202808112
The Citadel (SoCon),2011,0,2011-0,0.203125
Arizona St. (Pac-12),2011,1113,2011-1113,0.203761755
Drexel (CAA),2011,1180,2011-1180,0.233908948
UNCW (CAA),2011,1423,2011-1423,0.276295133
Prairie View (SWAC),2011,1341,2011-1341,0.204402516
Florida A&M (MEAC),2011,1197,2011-1197,0.204724409
UNI (MVC),2011,1320,2011-1320,0.204724409
Saint Joseph's (Atlantic 10),2011,1386,2011-1386,0.266141732
Saint Louis (Atlantic 10),2011,1387,2011-1387,0.206022187
Delaware (CAA),2011,1174,2011-1174,0.254372019
UAlbany (America East),2011,1107,2011-1107,0.26391097
Auburn (SEC),2011,1120,2011-1120,0.207336523
A&M-Corpus Christi (Southland),2011,1394,2011-1394,0.23923445
UIC (Horizon),2011,0,2011-0,0.207336523
LSU (SEC),2011,1261,2011-1261,0.207667732
Delaware St. (MEAC),2011,1175,2011-1175,0.207667732
Gardner-Webb (Big South),2011,1205,2011-1205,0.209677419
Georgia St. (CAA),2011,1209,2011-1209,0.210016155
Virginia (ACC),2011,1438,2011-1438,0.210016155
Eastern Mich. (MAC),2011,0,2011-0,0.210355987
Sacramento St. (Big Sky),2011,0,2011-0,0.210355987
South Fla. (AAC),2011,1378,2011-1378,0.210696921
Niagara (MAAC),2011,1310,2011-1310,0.250814332
Saint Peter's (MAAC),2011,1389,2011-1389,0.211726384
Stony Brook (America East),2011,1392,2011-1392,0.212418301
Illinois St. (MVC),2011,1227,2011-1227,0.212765957
Southern Ill. (MVC),2011,1356,2011-1356,0.213114754
Jacksonville St. (OVC),2011,1240,2011-1240,0.254515599
San Diego (WCC),2011,1360,2011-1360,0.213464696
Samford (SoCon),2011,0,2011-0,0.214521452
Mount St. Mary's (NEC),2011,1291,2011-1291,0.214521452
Monmouth (NEC),2011,1284,2011-1284,0.214521452
Savannah St. (Savannah St.),2011,0,2011-0,0.214876033
Eastern Ill. (OVC),2011,0,2011-0,0.215588723
Alabama St. (SWAC),2011,1106,2011-1106,0.215946844
Ark.-Pine Bluff (SWAC),2011,1115,2011-1115,0.215946844
Grambling (SWAC),2011,0,2011-0,0.216306156
Manhattan (MAAC),2011,1264,2011-1264,0.271214642
Binghamton (America East),2011,1127,2011-1127,0.216666667
Denver (Sun Belt),2011,0,2011-0,0.216666667
Marist (MAAC),2011,0,2011-0,0.216666667
ULM (Sun Belt),2011,0,2011-0,0.216666667
Hartford (America East),2011,1216,2011-1216,0.217028381
Radford (Big South),2011,1347,2011-1347,0.217391304
Central Mich. (MAC),2011,1141,2011-1141,0.273031826
Dartmouth (Ivy League),2011,0,2011-0,0.218487395
Centenary (LA) (Summit League),2011,#N/A,#N/A,0.219594595
Cal Poly (Big West),2011,1142,2011-1142,0.258883249
Howard (MEAC),2011,0,2011-0,0.221843003
New Hampshire (America East),2011,0,2011-0,0.222984563
Toledo (MAC),2011,0,2011-0,0.224525043
Western Ill. (Summit League),2011,0,2011-0,0.226876091
Southern U. (SWAC),2011,1380,2011-1380,0.229276896
Iona (MAAC),2012,1233,2012-1233,0.222088836
North Carolina (ACC),2012,1314,2012-1314,0.211421628
LIU (NEC),2012,1254,2012-1254,0.212454212
Belmont (ASUN),2012,1125,2012-1125,0.159509202
UNC Asheville (Big South),2012,1421,2012-1421,0.20320197
Creighton (MVC),2012,1166,2012-1166,0.29
Missouri (Big 12),2012,1281,2012-1281,0.2275
VMI (Big South),2012,0,2012-0,0.163111669
Oakland (Summit League),2012,1324,2012-1324,0.322864322
Oregon St. (Pac-12),2012,1333,2012-1333,0.223899371
Duke (ACC),2012,1181,2012-1181,0.194409149
Davidson (SoCon),2012,1172,2012-1172,0.204081633
BYU (WCC),2012,1140,2012-1140,0.213554987
New Mexico St. (WAC),2012,1308,2012-1308,0.236200257
Cal St. Fullerton (Big West),2012,1168,2012-1168,0.215661104
Kentucky (SEC),2012,1246,2012-1246,0.185328185
Wichita St. (MVC),2012,1455,2012-1455,0.167310167
Indiana (Big Ten),2012,1231,2012-1231,0.2
Weber St. (Big Sky),2012,1451,2012-1451,0.316537468
